"Tconv.3"	"Tconv.4"	"Tconv.5"	"Tconv.6"	"Tconv.7"	"Tconv.1"	"Tconv.2"	"Treg.3"	"Treg.4"	"Treg.5"	"Treg.6"	"Treg.7"	"Treg.1"	"Treg.2"	"Protein"
"26.5012076067943"	"26.1099516657711"	"26.7994650333168"	"26.1309268239093"	"26.5221406495632"	"26.2957486380991"	"26.2140004898421"	"26.6281612952762"	"26.912913083184"	"26.9494904773214"	"26.6646517011693"	"26.8342451559753"	"26.5776068066322"	"26.305802071312"	"A2A432"
"24.6277464313354"	"25.7232808823877"	"26.4173012926983"	"26.3129903896032"	"26.2201486132429"	"25.2079120988501"	"26.1992258119944"	"24.1701968194199"	"26.2478319390389"	"26.6646517011693"	"26.1000501538968"	"26.691656419703"	"25.22974702101"	"25.655401004645"	"A2A4P0"
"26.7375325093751"	"24.8963450410398"	"26.2828612009957"	"26.2730028854138"	"26.7717800019816"	"27.6583884282574"	"26.1995317344153"	"26.6035621457516"	"22.8674740643376"	"25.7827679079175"	"26.2569729743826"	"24.2839033746376"	"25.9135665903079"	"26.2067221688137"	"A2A5R2"
"21.9836281386054"	"22.2704195218115"	"23.977273633835"	"23.6727119242795"	"23.6630776841141"	"23.6834293722419"	"24.260107347923"	"23.0847861457742"	"21.6835574231144"	"24.0570543664835"	"23.2884166485607"	"23.8935622467444"	"23.5228304235406"	"24.0578253576161"	"A2A6A1"
"22.9861236981117"	"21.9544875167285"	"22.4931635438448"	"22.1164518445545"	"22.3690892926184"	"25.4125273773466"	"22.1493059785193"	"23.177176864705"	"23.085587203674"	"22.1324495236101"	"22.724861035776"	"20.9963824567827"	"25.3022056221957"	"21.326213684296"	"A2A8L1"
"21.9943551966432"	"23.7221687617743"	"25.0680060723059"	"24.1709666108907"	"24.1206023937142"	"24.1126363013425"	"24.1341854857054"	"21.0074970081033"	"24.4813887965692"	"24.6377675567539"	"24.3024303094095"	"24.335654223297"	"24.0631819854121"	"22.9768773554597"	"A2A8U2"
"25.0233603498025"	"24.3172052449805"	"24.9137864156398"	"24.8609335115076"	"24.6928006449852"	"24.6186810965234"	"24.6402804496379"	"24.7652918844248"	"25.1627463279138"	"25.0274086187247"	"24.8780655105275"	"24.8639605093927"	"24.7990346141623"	"24.3853984670931"	"A2A8Z1"
"22.25881005695"	"24.5910452754862"	"25.0012707359542"	"24.6526130576563"	"25.8589435869978"	"25.2439894252312"	"25.303270846924"	"23.7872047492211"	"24.8909191719125"	"25.407820628872"	"24.9641984212513"	"25.2543259754559"	"25.1224402998472"	"25.3472721358891"	"A2AB59"
"20.9937778730046"	"21.9513389009913"	"23.6681734446384"	"23.0702519973034"	"23.4075613378863"	"21.1135591322673"	"21.1331213638864"	"21.4095397540472"	"21.9414625557319"	"23.6089640525876"	"23.1356623226108"	"23.1814537818966"	"21.0893415486707"	"21.3667775371751"	"A2ABV5"
"20.9937778730046"	"21.5124152768784"	"21.4034385284228"	"22.0335547421099"	"21.6768489342213"	"21.1135591322673"	"21.1331213638864"	"21.0074970081033"	"22.4397990822503"	"21.5270093348084"	"22.3396553988221"	"21.691917276484"	"21.0893415486707"	"21.3667775371751"	"A2ADA5"
