"M11_R1"	"M11_R2"	"M12_1"	"M12_2"	"M12_3"	"M5"	"M6"	"Expression.Rep1"	"Expression.Rep2"	"Expression.Rep3"	"log2.Ratio.Treg.Tc.Rep1"	"log2.Ratio.Treg.Tc.Rep2"	"log2.Ratio.Treg.Tc.Rep3"	"log2.Ratio.Treg.Tc.Rep4"	"Gene.names"
-1.19063999999999	-1.09527	-1.43359	-1.36810000000001	-1.13042	-1.52078	-1.61763	-0.749562211668745	-0.851400594714879	-1.59163437166899	-1.054084393	-1.092463222	-0.911193023	-1.065279705	"Actn1"
-3.7366662320146	-3.1514994110182	-2.5753972625475	-2.1004966227599	-2.9787432291871	-2.6853384772567	-3.8147593288474	-1.90118861334144	-1.6547887545145	-1.38324277601365	NA	-1.773442148	-2.741941515	NA	"Adh1"
0.798133045332598	1.5054125741176	0.585844309995402	1.3263090875523	1.378363251264	1.125433340135	1.5845573406764	0.869703230195931	0.470060347126274	0.604674214765666	1.105876837	1.302114295	0.930325327	1.212756083	"Alad"
-2.03653	-2.60756	-2.71875	-1.72863	-2.63914	-0.315650000000002	-0.92475	-2.16048742800741	-1.76730255138506	-1.4340023421714	-0.273933569	-1.378531821	-2.250021697	NA	"Als2cl"
2.2812374653115	1.8919850035716	2.2037968226556	1.8235648564126	2.0658945874385	2.565772677742	2.3907771308749	0.863547659025614	0.0974732296816731	0.117918561433836	0.161572578	1.159629186	1.988561612	0.868607755	"Anxa2"
2.37552	2.96802	1.44308	2.99357	3.04436	1.63493	1.16792	2.26412822204722	1.8081035485017	1.64683272346943	2.618295787	1.796431631	NA	NA	"Anxa4"
-1.1600066011212	-1.531772371779	-1.0539555837074	-0.574163360128701	-0.930693131989901	-1.2662393163555	-0.917686499545201	-1.38816724523542	-1.24894408268143	-1.34956832040123	-0.655718181	-0.459357682	-0.96790637	-0.694718169	"Atp1b1"
-2.3043923502847	-0.412993131470699	-2.2979214452796	-0.977199262498502	-3.0390848595449	-0.196272923167999	-1.9385389505561	-0.366451962611422	-0.262204056389283	-0.384369353036976	NA	-1.222161609	NA	NA	"Ca2"
2.8317144191757	2.7381787205307	2.7736724372638	2.7335189026092	2.7388676314106	2.6769922214249	2.8225922009796	2.8414127445869	2.10944233804687	1.90411961786422	2.768665905	2.752855612	2.876625153	3.016407174	"Capg"
1.6584894828487	2.2906315530288	2.6792907528449	2.973807835168	3.0165551832214	3.6962498103941	4.0063213338439	1.17725734929302	0.815180387552238	0.597715744533005	1.157946398	0.859492545	NA	NA	"Casp1"
-1.0862308118676	0.171142146236001	0.123570806385601	0.0553596348465	-0.0280284712115986	0.7342584466119	1.498635688406	2.04281311851854	1.35307215817755	1.33575779667605	3.566784136	1.948114884	2.705570398	NA	"Cd38"
1.7661110477813	2.2407555809696	0.8678276929083	-0.0778629848114996	1.0006642595358	1.7929243117123	1.2060850409601	0.947165548257838	0.652638388365095	0.957089261282022	0.593833439	1.611408481	1.40996813	1.710084561	"Cd44"
-1.17672	-1.6464	-1.96807	-1.35337	-2.21698	-1.42442	-1.16887	0.0215609164278918	-0.217510315267229	0.0222376625677888	-1.833578294	-1.38669467	-1.164979311	-1.572908784	"Ckb"
-0.0472900000000003	-1.68105	-4.75023	-1.80764	-2.48949	-2.21842	-1.67043	-1.24612300116691	-0.719097460517255	-0.303697235062552	-1.316435411	-1.529405871	-1.941031169	-1.149280573	"Clybl"
3.67968	3.57242	5.83547	6.69222	4.66157	4.2954	3.49211	1.66689928483445	1.5423253926472	1.97020546035428	NA	3.68009927	NA	3.347523931	"Coro2a"
1.4955815785806	2.9302509137001	0.8204305816203	1.0998659200105	1.321392909164	1.7879252375364	1.7124853441594	1.27189096405557	1.14146195145152	0.364418396080038	0.973355725	0.749233898	1.251435721	1.961771479	"Cpox"
1.20772	2.73384	1.34015	0.46583	2.33039	1.85607	4.12593	1.04211375319458	1.14108893161877	1.03927103413368	1.251332682	0.642840175	0.849960307	1.281490546	"Crmp1"
0.0137191350987003	0.609686908695402	0.123570806385601	1.4660752309709	1.2397474769511	1.1528920309474	0.501730882730101	3.86360558914785	3.07838876671528	3.08139532281902	NA	3.825378604	NA	NA	"Ctla4"
0.0137199999999993	1.67729	1.02792	0.896100000000001	1.15868	2.21036	3.33044	2.61838897732575	1.66274397660741	1.84542226923447	2.33053777	2.633547458	0.518556383	2.40206725	"Cyfip1"
